Time_H,HW,Time_L,LW
8:50,0.8,3:07,0.4
22:00,0.9,15:14,0.1
9:33,0.7,3:53,0.4
22:40,0.8,15:52,0.1
10:23,0.6,4:47,0.4
23:25,0.8,16:34,0.2
11:25,0.6,5:49,0.4
0:15,0.8,17:24,0.3
12:40,0.6,6:57,0.3
1:09,0.8,18:25,0.3
14:01,0.6,8:04,0.3
2:06,0.9,19:35,0.4
15:12,0.6,9:01,0.2
3:02,0.9,20:43,0.4
16:11,0.7,9:52,0.1
3:55,1,21:44,0.3
17:02,0.8,10:38,0
4:45,1,22:39,0.3
17:49,0.9,11:21,-0.1
5:33,1.1,23:29,0.2
18:34,1,12:03,-0.2
6:20,1.1,0:18,0.2
19:19,1.1,12:46,-0.2
7:07,1.1,1:06,0.1
20:03,1.1,13:28,-0.2
7:54,1,1:54,0.1
20:49,1.1,14:11,-0.2
8:42,1,2:44,0.1
21:36,1.1,14:55,-0.1
9:34,0.9,3:36,0.2
22:25,1,15:40,0
10:30,0.8,4:34,0.2
23:18,1,16:30,0.1
11:37,0.7,5:39,0.2
0:17,0.9,17:26,0.2
12:56,0.6,6:54,0.2
1:21,0.9,18:34,0.3
14:25,0.6,8:10,0.2
2:27,0.9,19:53,0.4
15:44,0.7,9:17,0.2
3:27,0.9,21:09,0.4
16:44,0.7,10:11,0.1
4:20,0.9,22:11,0.4
17:31,0.8,10:54,0
5:04,0.9,23:01,0.3
18:10,0.9,11:32,0
5:42,0.9,23:43,0.3
18:44,0.9,12:06,-0.1
6:17,0.9,0:20,0.3
19:15,0.9,12:38,-0.1
6:50,0.9,0:55,0.2
19:45,1,13:09,-0.1
7:22,0.9,1:29,0.2
20:14,1,13:40,-0.1
7:54,0.9,2:03,0.2
20:42,0.9,14:10,0
8:27,0.8,2:37,0.2
21:12,0.9,14:40,0
9:03,0.8,3:13,0.2
21:44,0.9,15:10,0.1
